Start Date,End Date,Data Year,District Name,Campus Number,Campus Name,County Name,Zip Code,Latitude,Longitude,Number of Graduates,Total in Class,Percent of Graduates,New Georeferenced Column
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,NYOS CHARTER SCHOOL,227804101,NYOS CHARTER SCHOOL,Travis,78753,30.40214,-97.67848,,,0.94,POINT (-97.67848 30.40214)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901017,AKINS H S,Travis,78748,30.148674,-97.801586,,,0.97,POINT (-97.801586 30.148674)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901013,BOWIE H S,Travis,78749,30.197459,-97.8581,,,0.98,POINT (-97.85810000000001 30.197459000000002)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,NYOS CHARTER SCHOOL,227804101,NYOS CHARTER SCHOOL,Travis,78753,30.40214,-97.67848,,,0.94,POINT (-97.67848 30.40214)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901004,LANIER H S,Travis,78758,29.42146,-98.514977,,299,0.97,POINT (-98.514977 29.42146)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901028,RICHARDS SCH FOR YOUNG WOMEN LEADERS,Travis,78704,30.23624,-97.788473,91,91,1,POINT (-97.78847300000001 30.236240000000002)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901008,CROCKETT H S,Travis,78745,30.213335,-97.796691,,299,0.97,POINT (-97.796691 30.213335000000004)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901015,GARZA INDEPENDENCE H S,Travis,78702,30.277653,-97.721094,42,115,0.37,POINT (-97.721094 30.277653)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901009,ANDERSON H S,Travis,78759,30.375537,-97.752726,,499,0.98,POINT (-97.752726 30.375537000000005)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901028,RICHARDS SCH FOR YOUNG WOMEN LEADERS,Travis,78704,30.23624,-97.788473,91,91,1,POINT (-97.78847300000001 30.236240000000002)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901251,ROSEDALE,Travis,78756,30.31988,-97.74023,0,33,0,POINT (-97.74023 30.31988)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,PFLUGERVILLE ISD,227904003,JOHN B CONNALLY H S,Travis,78753,30.41867,-97.67651,,,0.97,POINT (-97.67651 30.41867)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901018,LASA H S,Travis,78724,30.313614,-97.656741,246,246,1,POINT (-97.656741 30.313614)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901005,MCCALLUM H S,Travis,78756,30.325204,-97.731062,,,0.97,POINT (-97.731062 30.325204000000003)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901015,GARZA INDEPENDENCE H S,Travis,78702,30.277653,-97.721094,42,123,0.34,POINT (-97.721094 30.277653)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901013,BOWIE H S,Travis,78749,30.197459,-97.8581,,,0.99,POINT (-97.85810000000001 30.197459000000002)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901009,ANDERSON H S,Travis,78759,30.375537,-97.752726,,499,0.98,POINT (-97.752726 30.375537000000005)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901251,ROSEDALE,Travis,78756,30.31988,-97.74023,0,13,0,POINT (-97.74023 30.31988)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,KIPP AUSTIN PUBLIC SCHOOLS INC,227820001,KIPP AUSTIN COLLEGIATE,Travis,78724,30.27134,-97.63744,,199,0.97,POINT (-97.63744 30.27134)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,PFLUGERVILLE ISD,227904003,JOHN B CONNALLY H S,Travis,78753,30.41867,-97.67651,,,0.97,POINT (-97.67651 30.41867)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901006,REAGAN H S,Travis,78752,30.322488,-97.689839,,249,0.99,POINT (-97.689839 30.322488)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901019,EASTSIDE MEMORIAL AT THE JOHNSTON CAMPUS,Travis,78721,30.258072,-97.681447,,149,0.93,POINT (-97.681447 30.258072)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901005,MCCALLUM H S,Travis,78756,30.325204,-97.731062,,,0.97,POINT (-97.731062 30.325204000000003)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901018,LASA H S,Travis,78724,30.313614,-97.656741,246,246,1,POINT (-97.656741 30.313614)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901008,CROCKETT H S,Travis,78745,30.213335,-97.796691,,299,0.97,POINT (-97.796691 30.213335000000004)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901007,TRAVIS H S,Travis,78704,30.233014,-97.744185,,,0.93,POINT (-97.744185 30.233014)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901006,REAGAN H S,Travis,78752,30.322488,-97.689839,,249,0.99,POINT (-97.689839 30.322488)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,KIPP AUSTIN PUBLIC SCHOOLS INC,227820001,KIPP AUSTIN COLLEGIATE,Travis,78724,30.27134,-97.63744,,199,0.97,POINT (-97.63744 30.27134)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901002,AUSTIN H S,Travis,78703,30.273808,-97.768344,,,0.98,POINT (-97.768344 30.273808)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,HARMONY SCIENCE ACADEMY (AUSTIN),227816101,HARMONY SCHOOL OF EXCELLENCE,Travis,78744,30.2105,-97.7467,,,0.95,POINT (-97.7467 30.210500000000003)
